畀	bei2
別	bit6
别	bit6
産	caan2
齊	cai4
亲	can1
仇	cau4 sau4
錢	cin4
钱	cin4
采	coi2
创	cong3
創	cong3
虫	cung4
從	cung4 sung1
郸	daan1
突	dat6
度	dou6
发	faat3
発	faat3
發	faat3
勛	fan1
冨	fu3
匊	guk1
觀	gun1
龜	gwai1
龟	gwai1
号	hou6
衣	ji1
燕	jin3
研	jin4
亐	jyu1 jyu4
于	jyu1 jyu4
魚	jyu4
鱼	jyu4
雨	jyu5
員	jyun4
啟	kai2
区	keoi1
區	keoi1
狂	kwong4
累	leoi5 leoi6
歴	lik6
劳	lou4
勞	lou4
卐	maan6
卯	maau5
文	man4
紋	man4
泥	nai4
巖	ngaam4
顔	ngaan4
鴈	ngaan6
寕	ning4
寧	ning4
蓬	pung4
三	saam1
丗	sai3
芯	sam1
冩	se2
神	san4
濕	sap1
石	sek6
帥	seoi3
誰	seoi4
谁	seoi4
鲜	sin1
薯	syu4
說	syut3
説	syut3
说	syut3
歎	taan3
苔	toi4
凃	tou4
涂	tou4
屯	tyun4
滑	waat6
遺	wai4
衞	wai6
為	wai4 wai6
渦	wo1
湛	zaam3
廌	zaai6 zai6
寺	zi6
尊	zyun1
拙	zyut3
絶	zyut6
豊	lai5
巤	lip6
夅	gong3 hong4
粦	leon4
夌	ling4
歯	ci2
緑	luk6
鼈	bit3
犂	lai4
臱	min4
夀	sau6
菐	buk6
岺	ling5 leng5
岭	ling5 leng5
咅	pei1
皂	zou6
枼	jip6
頽	teoi4
鳯	fung6
彑	gai3
罙	sam1
蒦	wok6
昷	wan1
勲	fan1
昜	joeng4
夋	ceon1 zeon3
戯	hei3
戲	hei3
歛	lim5 lim6
皐	gou1
褱	waai4
匽	jin2
屚	lau6
陷	haam6
臽	haam6
霝	ling4
丣	jau5
殻	hok3
戠	zik1
妟	aan3
埶	ngai6 sai3
遀	ceoi4
尞	liu4
尢	wong1 jau4
卂	seon3
囙	jan1
乑	jam1 jam4 zung3
敄	mou6
隺	guk1 hok6
冋	gwing1
丅	haa5 haa6
畐	fuk1
啇	dik1
